Overall,Name,Times Drafted,Std. Dev,High,Low,age,all_td,fumbles,fumbles_lost,g,gs,pass_att,pass_cmp,pass_int,pass_td,pass_yds,rec,rec_td,rec_yds,rec_yds_per_rec,rush_att,rush_td,rush_yds,rush_yds_per_att,targets,two_pt_md,two_pt_pass,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,Position_DEF,Position_PK,Position_QB,Position_RB,Position_TE,Position_WR,Team_ARI,Team_ATL,Team_BAL,Team_BUF,Team_CAR,Team_CHI,Team_CIN,Team_CLE,Team_DAL,Team_DEN,Team_DET,Team_FA,Team_GB,Team_HOU,Team_IND,Team_JAX,Team_KC,Team_LAC,Team_LAR,Team_LV,Team_MIA,Team_MIN,Team_NE,Team_NO,Team_NYG,Team_NYJ,Team_PHI,Team_PIT,Team_SEA,Team_SF,Team_TB,Team_TEN,Team_WAS
1.9,Saquon Barkley,185,0.8,1,4,21.0,15.0,0.0,0.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,91.0,4.0,721.0,7.92,261.0,11.0,1307.0,5.01,121.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2.4,Alvin Kamara,90,0.8,1,4,23.0,18.0,1.0,0.0,15.0,13.0,0.0,0.0,0.0,0.0,0.0,81.0,4.0,709.0,8.75,194.0,14.0,883.0,4.55,105.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3.6,Christian McCaffrey,112,1.1,1,6,22.0,13.0,4.0,1.0,16.0,16.0,1.0,1.0,0.0,1.0,50.0,107.0,6.0,867.0,8.1,219.0,7.0,1098.0,5.01,124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.8,Ezekiel Elliott,67,1.0,1,6,23.0,9.0,6.0,1.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,77.0,3.0,567.0,7.36,304.0,6.0,1434.0,4.72,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.1,James Conner,79,1.6,1,12,23.0,13.0,4.0,2.0,13.0,12.0,0.0,0.0,0.0,0.0,0.0,55.0,1.0,497.0,9.04,215.0,12.0,973.0,4.53,71.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6.1,DeAndre Hopkins,105,1.8,1,12,26.0,11.0,2.0,2.0,16.0,16.0,1.0,0.0,0.0,0.0,0.0,115.0,11.0,1572.0,13.67,1.0,0.0,-7.0,-7.0,163.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.2,LeVeon Bell,88,2.1,1,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7.2,Nick Chubb,105,2.0,4,15,23.0,10.0,0.0,0.0,16.0,9.0,0.0,0.0,0.0,0.0,0.0,20.0,2.0,149.0,7.45,192.0,8.0,996.0,5.19,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.2,Davante Adams,108,2.0,4,16,26.0,13.0,0.0,0.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,111.0,13.0,1386.0,12.49,0.0,0.0,0.0,0.0,169.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.6,Dalvin Cook,115,2.1,5,15,23.0,4.0,2.0,2.0,11.0,10.0,0.0,0.0,0.0,0.0,0.0,40.0,2.0,305.0,7.63,133.0,2.0,615.0,4.62,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
