,Overall,Name,Position,Team_x,Times Drafted,Std. Dev,High,Low,Bye,match_name,age,all_td,fumbles,fumbles_lost,g,gs,pass_att,pass_cmp,pass_int,pass_td,pass_yds,player,pos,rec,rec_td,rec_yds,rec_yds_per_rec,rush_att,rush_td,rush_yds,rush_yds_per_att,targets,two_pt_md,two_pt_pass,Team Def,Player_x,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,Team_y,Player_y,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA
0,1.9,Saquon Barkley ,RB,NYG,185,0.8,1,4,11,saquonbarkley,21.0,15.0,0.0,0.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,Saquon Barkley,RB,91.0,4.0,721.0,7.92,261.0,11.0,1307.0,5.01,121.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
1,2.4,Alvin Kamara ,RB,NO,90,0.8,1,4,6,alvinkamara,23.0,18.0,1.0,0.0,15.0,13.0,0.0,0.0,0.0,0.0,0.0,Alvin Kamara,RB,81.0,4.0,709.0,8.75,194.0,14.0,883.0,4.55,105.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
2,3.6,Christian McCaffrey ,RB,CAR,112,1.1,1,6,13,christianmccaffrey,22.0,13.0,4.0,1.0,16.0,16.0,1.0,1.0,0.0,1.0,50.0,Christian McCaffrey ,RB,107.0,6.0,867.0,8.1,219.0,7.0,1098.0,5.01,124.0,,,,,,,,,,,,,,,,,,,,,,,,
3,3.8,Ezekiel Elliott ,RB,DAL,67,1.0,1,6,10,ezekielelliott,23.0,9.0,6.0,1.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,Ezekiel Elliott,RB,77.0,3.0,567.0,7.36,304.0,6.0,1434.0,4.72,95.0,,,,,,,,,,,,,,,,,,,,,,,,
4,6.1,   James Conner ,RB,PIT,79,1.6,1,12,8,jamesconner,23.0,13.0,4.0,2.0,13.0,12.0,0.0,0.0,0.0,0.0,0.0,James Conner,RB,55.0,1.0,497.0,9.04,215.0,12.0,973.0,4.53,71.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
5,6.1,DeAndre Hopkins ,WR,HOU,105,1.8,1,12,8,deandrehopkins,26.0,11.0,2.0,2.0,16.0,16.0,1.0,0.0,0.0,0.0,0.0,DeAndre Hopkins,WR,115.0,11.0,1572.0,13.67,1.0,0.0,-7.0,-7.0,163.0,,,,,,,,,,,,,,,,,,,,,,,,
6,7.2,LeVeon Bell ,RB,NYJ,88,2.1,1,13,11,leveonbell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7.2,Nick Chubb ,RB,CLE,105,2.0,4,15,9,nickchubb,23.0,10.0,0.0,0.0,16.0,9.0,0.0,0.0,0.0,0.0,0.0,Nick Chubb,RB,20.0,2.0,149.0,7.45,192.0,8.0,996.0,5.19,29.0,,,,,,,,,,,,,,,,,,,,,,,,
8,9.2,Davante Adams ,WR,GB,108,2.0,4,16,5,davanteadams,26.0,13.0,0.0,0.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,Davante Adams,WR,111.0,13.0,1386.0,12.49,0.0,0.0,0.0,,169.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
9,10.6,Dalvin Cook ,RB,MIN,115,2.1,5,15,7,dalvincook,23.0,4.0,2.0,2.0,11.0,10.0,0.0,0.0,0.0,0.0,0.0,Dalvin Cook,RB,40.0,2.0,305.0,7.63,133.0,2.0,615.0,4.62,49.0,,,,,,,,,,,,,,,,,,,,,,,,
10,10.9,Julio Jones ,WR,ATL,93,2.1,5,16,10,juliojones,29.0,8.0,2.0,2.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,Julio Jones ,WR,113.0,8.0,1677.0,14.84,2.0,0.0,12.0,6.0,170.0,,,,,,,,,,,,,,,,,,,,,,,,
11,11.4,Todd Gurley ,RB,LAR,117,2.3,6,18,9,toddgurley,24.0,21.0,1.0,1.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,Todd Gurley,RB,59.0,4.0,580.0,9.83,256.0,17.0,1251.0,4.89,81.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
12,12.9,Tyreek Hill ,WR,KC,120,2.4,6,17,10,tyreekhill,24.0,14.0,0.0,0.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,Tyreek Hill,WR,87.0,12.0,1479.0,17.0,22.0,1.0,151.0,6.86,137.0,,,,,,,,,,,,,,,,,,,,,,,,
13,12.9,Michael Thomas ,WR,NO,127,2.2,7,19,6,michaelthomas,25.0,9.0,2.0,2.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,Michael Thomas,WR,125.0,9.0,1405.0,11.24,0.0,0.0,0.0,,147.0,,,,,,,,,,,,,,,,,,,,,,,,
14,14.2,David Johnson ,RB,ARI,225,4.4,5,27,8,davidjohnson,27.0,10.0,3.0,2.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,David Johnson,RB,50.0,3.0,446.0,8.92,258.0,7.0,940.0,3.64,76.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
15,14.9,Odell Beckham  Jr,WR,CLE,149,2.2,10,21,9,odellbeckhamjr,26.0,6.0,2.0,1.0,12.0,12.0,2.0,2.0,0.0,2.0,106.0,Odell Beckham Jr.,WR,77.0,6.0,1052.0,13.66,5.0,0.0,19.0,3.8,124.0,,,,,,,,,,,,,,,,,,,,,,,,
16,15.9,JuJu Smith-Schuster ,WR,PIT,125,2.3,11,22,8,jujusmithschuster,22.0,7.0,1.0,1.0,16.0,13.0,0.0,0.0,0.0,0.0,0.0,JuJu Smith-Schuster,WR,111.0,7.0,1426.0,12.85,1.0,0.0,13.0,13.0,166.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
17,16.4,Patrick Mahomes,QB,KC,94,7.1,1,27,10,patrickmahomes,23.0,2.0,9.0,2.0,16.0,16.0,580.0,383.0,12.0,50.0,5097.0,Patrick Mahomes ,QB,0.0,0.0,0.0,,60.0,2.0,272.0,4.53,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
18,16.4,Joe Mixon ,RB,CIN,119,3.4,7,23,9,joemixon,22.0,9.0,0.0,0.0,14.0,13.0,0.0,0.0,0.0,0.0,0.0,Joe Mixon,RB,43.0,1.0,296.0,6.88,237.0,8.0,1168.0,4.93,55.0,,,,,,,,,,,,,,,,,,,,,,,,
19,17.8,Travis Kelce ,TE,KC,114,3.5,8,24,10,traviskelce,29.0,10.0,2.0,1.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,Travis Kelce,TE,103.0,10.0,1336.0,12.97,0.0,0.0,0.0,,150.0,,,,,,,,,,,,,,,,,,,,,,,,
20,20.3,Leonard Fournette ,RB,JAX,111,2.7,13,27,7,leonardfournette,23.0,6.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,Leonard Fournette ,RB,22.0,1.0,185.0,8.41,133.0,5.0,439.0,3.3,26.0,,,,,,,,,,,,,,,,,,,,,,,,
21,21.5,Mike Evans ,WR,TB,133,2.0,16,28,13,mikeevans,25.0,9.0,2.0,1.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,Mike Evans,WR,86.0,8.0,1524.0,17.72,0.0,0.0,0.0,,138.0,,,,,,,,,,,,,,,,,,,,,,,,
22,22.9,Chris Carson ,RB,SEA,127,3.0,15,30,6,chriscarson,24.0,9.0,3.0,2.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,Chris Carson,RB,20.0,0.0,163.0,8.15,247.0,9.0,1151.0,4.66,24.0,,,,,,,,,,,,,,,,,,,,,,,,
23,23.3,Antonio Brown ,WR,NE,129,3.0,15,30,6,antoniobrown,30.0,15.0,0.0,0.0,15.0,15.0,1.0,0.0,0.0,0.0,0.0,Antonio Brown ,WR,104.0,15.0,1297.0,12.47,0.0,0.0,0.0,,168.0,,,,,,,,,,,,,,,,,,,,,,,,
24,24.6,Damien Williams ,RB,KC,66,3.0,17,34,10,damienwilliams,26.0,6.0,1.0,1.0,16.0,3.0,0.0,0.0,0.0,0.0,0.0,Damien Williams ,RB,23.0,2.0,160.0,6.96,50.0,4.0,256.0,5.12,24.0,,,,,,,,,,,,,,,,,,,,,,,,
25,25.5,Aaron Jones ,RB,GB,112,3.7,15,33,5,aaronjones,24.0,9.0,1.0,1.0,12.0,8.0,0.0,0.0,0.0,0.0,0.0,Aaron Jones,RB,26.0,1.0,206.0,7.92,133.0,8.0,728.0,5.47,35.0,,,,,,,,,,,,,,,,,,,,,,,,
26,26.0,Adam Thielen ,WR,MIN,109,2.7,18,32,7,adamthielen,28.0,9.0,1.0,1.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,Adam Thielen,WR,113.0,9.0,1373.0,12.15,5.0,0.0,30.0,6.0,153.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
27,27.8,Keenan Allen ,WR,LAC,91,2.5,21,35,10,keenanallen,26.0,6.0,3.0,1.0,16.0,14.0,0.0,0.0,0.0,0.0,0.0,Keenan Allen,WR,97.0,6.0,1196.0,12.33,9.0,0.0,75.0,8.33,136.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
28,28.0,Josh Jacobs ,RB,LV,79,3.7,18,36,6,joshjacobs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,28.5,Kerryon Johnson ,RB,DET,131,3.2,20,38,5,kerryonjohnson,21.0,4.0,1.0,1.0,10.0,7.0,0.0,0.0,0.0,0.0,0.0,Kerryon Johnson,RB,32.0,1.0,213.0,6.66,118.0,3.0,641.0,5.43,39.0,,,,,,,,,,,,,,,,,,,,,,,,
30,29.1,David Montgomery ,RB,CHI,103,3.3,20,36,11,davidmontgomery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,31.1,George Kittle ,TE,SF,100,5.0,18,43,11,georgekittle,25.0,5.0,0.0,0.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,George Kittle,TE,88.0,5.0,1377.0,15.65,1.0,0.0,10.0,10.0,136.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
32,31.7,Devonta Freeman ,RB,ATL,164,3.6,22,39,10,devontafreeman,26.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,Devonta Freeman ,RB,5.0,0.0,23.0,4.6,14.0,0.0,68.0,4.86,7.0,,,,,,,,,,,,,,,,,,,,,,,,
33,33.8,Sony Michel ,RB,NE,153,3.0,25,44,6,sonymichel,23.0,6.0,1.0,1.0,13.0,8.0,0.0,0.0,0.0,0.0,0.0,Sony Michel,RB,7.0,0.0,50.0,7.14,209.0,6.0,931.0,4.45,11.0,,,,,,,,,,,,,,,,,,,,,,,,
34,33.9,Amari Cooper ,WR,DAL,134,4.4,22,44,10,amaricooper,24.0,7.0,2.0,2.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,Amari Cooper,WR,75.0,7.0,1005.0,13.4,2.0,0.0,20.0,10.0,107.0,,,,,,,,,,,,,,,,,,,,,,,,
35,35.4,Derrick Henry ,RB,TEN,124,5.0,22,48,7,derrickhenry,24.0,12.0,1.0,1.0,16.0,12.0,3.0,2.0,0.0,0.0,14.0,Derrick Henry ,RB,15.0,0.0,99.0,6.6,215.0,12.0,1059.0,4.93,18.0,,,,,,,,,,,,,,,,,,,,,,,,
36,36.6,Stefon Diggs ,WR,MIN,109,3.9,26,45,7,stefondiggs,25.0,9.0,0.0,0.0,15.0,14.0,0.0,0.0,0.0,0.0,0.0,Stefon Diggs,WR,102.0,9.0,1021.0,10.01,10.0,0.0,62.0,6.2,149.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
37,37.3,Zach Ertz ,TE,PHI,105,4.5,25,48,9,zachertz,28.0,8.0,1.0,0.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,Zach Ertz,TE,116.0,8.0,1163.0,10.03,0.0,0.0,0.0,,156.0,,,,,,,,,,,,,,,,,,,,,,,,
38,37.5,Mark Ingram ,RB,BAL,117,3.5,28,48,8,markingram,29.0,7.0,3.0,1.0,12.0,6.0,0.0,0.0,0.0,0.0,0.0,Mark Ingram,RB,21.0,1.0,170.0,8.1,138.0,6.0,645.0,4.67,27.0,,,,,,,,,,,,,,,,,,,,,,,,
39,38.9,Brandin Cooks ,WR,LAR,115,3.9,28,47,9,brandincooks,25.0,6.0,1.0,0.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,Brandin Cooks,WR,80.0,5.0,1204.0,15.05,10.0,1.0,68.0,6.8,117.0,,,,,,,,,,,,,,,,,,,,,,,,
40,40.3,Melvin Gordon ,RB,LAC,60,5.6,25,50,10,melvingordon,25.0,14.0,1.0,0.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,Melvin Gordon,RB,50.0,4.0,490.0,9.8,175.0,10.0,885.0,5.06,66.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
41,41.5,Marlon Mack ,RB,IND,134,4.2,30,53,7,marlonmack,22.0,10.0,2.0,2.0,12.0,10.0,0.0,0.0,0.0,0.0,0.0,Marlon Mack,RB,17.0,1.0,103.0,6.06,195.0,9.0,908.0,4.66,26.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
42,41.7,Deshaun Watson ,QB,HOU,65,7.3,23,54,8,deshaunwatson,23.0,5.0,9.0,3.0,16.0,16.0,505.0,345.0,9.0,26.0,4165.0,Deshaun Watson ,QB,0.0,0.0,0.0,,99.0,5.0,551.0,5.57,0.0,,,,,,,,,,,,,,,,,,,,,,,,
43,42.5,Tyler Lockett ,WR,SEA,119,3.1,34,50,6,tylerlockett,26.0,10.0,2.0,0.0,16.0,14.0,0.0,0.0,0.0,0.0,0.0,Tyler Lockett,WR,57.0,10.0,965.0,16.93,13.0,0.0,69.0,5.31,70.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
44,43.3,Chris Godwin ,WR,TB,76,4.0,32,54,13,chrisgodwin,22.0,7.0,4.0,1.0,16.0,5.0,0.0,0.0,0.0,0.0,0.0,Chris Godwin,WR,59.0,7.0,842.0,14.27,0.0,0.0,0.0,,95.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
45,44.0,Robert Woods ,WR,LAR,100,3.5,34,51,9,robertwoods,26.0,7.0,0.0,0.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,Robert Woods,WR,86.0,6.0,1219.0,14.17,19.0,1.0,157.0,8.26,130.0,,,,,,,,,,,,,,,,,,,,,,,,
