"Rank","Player","SACK","INT","FR","FF","DEF TD","SFTY","SPC TD","G","FPTS","FPTS/G","OWN"
"1","Baltimore Ravens (BAL)","6","2","3","4","1","0","0","2","30.0","15.0","98.1%"
"2","Pittsburgh Steelers (PIT)","10","3","1","1","0","1","0","2","21.0","10.5","99.3%"
"3","Washington Football Team (WAS)","11","3","1","3","0","0","0","2","19.0","9.5","14.8%"
"4","New Orleans Saints (NO)","6","2","2","1","1","0","0","2","19.0","9.5","72.5%"
"5","Indianapolis Colts (IND)","7","3","0","0","0","1","0","2","19.0","9.5","91.8%"
"6","Green Bay Packers (GB)","6","2","0","0","1","1","0","2","17.0","8.5","10.3%"
"7","New England Patriots (NE)","3","4","0","0","1","0","0","2","17.0","8.5","88.7%"
"8","Chicago Bears (CHI)","5","2","1","1","0","0","0","2","15.0","7.5","79.5%"
"9","Tampa Bay Buccaneers (TB)","6","2","2","2","0","0","0","2","14.0","7.0","79.4%"
"10","New York Giants (NYG)","6","2","1","2","0","0","0","2","13.0","6.5","3.4%"
"11","Arizona Cardinals (ARI)","7","0","2","1","0","0","0","2","13.0","6.5","39.8%"
"12","Los Angeles Chargers (LAC)","4","1","1","1","0","0","0","2","12.0","6.0","64.3%"
"13","Kansas City Chiefs (KC)","6","2","0","0","0","0","0","2","12.0","6.0","41.9%"
"14","New York Jets (NYJ)","6","1","2","3","0","0","0","2","11.0","5.5","4.5%"
"15","Los Angeles Rams (LAR)","3","2","1","1","0","0","0","2","11.0","5.5","37.6%"
"16","Buffalo Bills (BUF)","6","1","1","2","0","0","0","2","10.0","5.0","91.7%"
"17","San Francisco 49ers (SF)","3","1","0","1","0","0","0","2","9.0","4.5","97.7%"
"18","Seattle Seahawks (SEA)","3","2","1","1","0","0","0","2","9.0","4.5","27.7%"
"19","Tennessee Titans (TEN)","2","2","1","2","0","0","0","2","8.0","4.0","38.6%"
"20","Denver Broncos (DEN)","2","1","1","1","0","0","0","2","7.0","3.5","38.7%"
"21","Jacksonville Jaguars (JAC)","2","2","0","0","0","0","0","2","6.0","3.0","3.3%"
"22","Miami Dolphins (MIA)","3","0","1","2","0","0","0","2","4.0","2.0","1.0%"
"23","Houston Texans (HOU)","5","0","0","0","0","0","0","2","4.0","2.0","2.2%"
"24","Cleveland Browns (CLE)","5","0","2","2","0","0","0","2","4.0","2.0","36.5%"
"25","Las Vegas Raiders (LV)","1","1","0","0","0","0","0","2","2.0","1.0","1.0%"
"26","Philadelphia Eagles (PHI)","4","0","1","1","0","0","0","2","2.0","1.0","32.8%"
"27","Carolina Panthers (CAR)","0","1","1","1","0","0","0","2","2.0","1.0","0.9%"
"28","Atlanta Falcons (ATL)","4","0","3","4","0","0","0","2","2.0","1.0","3.7%"
"29","Cincinnati Bengals (CIN)","2","1","0","0","0","0","0","2","1.0","0.5","2.2%"
"30","Dallas Cowboys (DAL)","2","1","0","0","0","0","0","2","1.0","0.5","20.5%"
"31","Minnesota Vikings (MIN)","2","1","0","2","0","0","0","2","-1.0","-0.5","43.7%"
"32","Detroit Lions (DET)","2","0","0","1","0","0","0","2","-2.0","-1.0","2.4%"
""
""
