"Rank","Player","FG","FGA","PCT","LG","1-19","20-29","30-39","40-49","50+","XPT","XPA","G","FPTS","FPTS/G","OWN"
"1","Harrison Butker (KC)","34","38","89.5","56","0","9","9","13","3","45","48","16","166.0","10.4","99.9%"
"2","Wil Lutz (NO)","32","36","88.9","58","1","9","6","13","3","48","49","16","163.0","10.2","98.3%"
"3","Justin Tucker (BAL)","28","29","96.6","51","0","8","9","10","1","57","59","16","153.0","9.6","99.9%"
"4","Matt Gay (IND)","27","35","77.1","58","0","6","5","11","5","43","48","16","145.0","9.1","6.5%"
"5","Zane Gonzalez (ARI)","31","35","88.6","54","0","12","12","5","2","34","35","16","136.0","8.5","74.5%"
"6","Josh Lambo (JAC)","33","34","97.1","56","0","12","9","8","4","19","20","16","134.0","8.4","4.5%"
"7","Matt Prater (DET)","26","31","83.9","56","0","11","2","6","7","35","36","16","133.0","8.3","82.6%"
"8","Dan Bailey (MIN)","27","29","93.1","50","0","10","9","5","3","40","44","16","132.0","8.3","28.2%"
"9","Brandon McManus (DEN)","29","34","85.3","53","0","6","8","11","4","25","26","16","131.0","8.2","11.7%"
"10","Joey Slye (CAR)","25","32","78.1","55","0","4","5","8","8","31","35","16","130.0","8.1","10.2%"
"11","Greg Zuerlein (DAL)","24","33","72.7","58","0","7","7","5","5","42","42","16","129.0","8.1","91.7%"
"12","Chris Boswell (PIT)","29","31","93.5","51","1","11","7","9","1","28","28","16","126.0","7.9","54.6%"
"13","Randy Bullock (CIN)","27","31","87.1","57","0","10","6","10","1","24","25","16","117.0","7.3","2.1%"
"14","Jason Myers (SEA)","23","28","82.1","54","0","6","11","4","2","40","44","16","117.0","7.3","33.4%"
"15","Austin Seibert (CIN)","25","29","86.2","53","0","6","9","9","1","30","35","16","116.0","7.3","5.5%"
"16","Robbie Gould (SF)","23","31","74.2","47","0","9","8","6","0","41","42","13","116.0","8.9","88.3%"
"17","Jason Sanders (MIA)","23","30","76.7","54","0","7","8","5","3","29","30","16","115.1","7.2","0.9%"
"18","Mason Crosby (GB)","22","24","91.7","54","1","2","11","7","1","40","41","16","115.0","7.2","50.2%"
"19","Ka'imi Fairbairn (HOU)","20","25","80.0","54","0","5","8","4","3","40","45","16","110.0","6.9","23.7%"
"20","Jake Elliott (PHI)","22","26","84.6","53","0","7","8","5","2","35","37","16","109.0","6.8","45.8%"
"21","Dustin Hopkins (WAS)","25","30","83.3","53","0","7","8","8","2","21","22","16","108.0","6.8","0.9%"
"22","Stephen Hauschka (FA)","22","28","78.6","51","0","5","7","9","1","30","32","16","107.0","6.7","0.8%"
"23","Brett Maher (WAS)","20","30","66.7","63","0","9","6","1","4","36","36","13","105.0","8.1","0.0%"
"24","Eddy Pineiro (CHI)","23","28","82.1","53","1","8","9","3","2","27","29","16","103.0","6.4","0.1%"
"25","Daniel Carlson (LV)","19","26","73.1","48","0","8","5","6","0","34","36","16","97.0","6.1","9.1%"
"26","Sam Ficken (NYJ)","19","27","70.4","54","0","2","7","7","3","23","26","15","93.0","6.2","0.2%"
"27","Younghoe Koo (ATL)","23","26","88.5","50","0","6","9","7","1","15","16","8","93.0","11.6","73.9%"
"28","Chase McLaughlin (MIN)","18","23","78.3","50","1","5","4","5","3","26","26","11","91.0","8.3","1.1%"
"29","Adam Vinatieri (FA)","17","25","68.0","55","0","6","6","3","2","22","28","12","80.0","6.7","0.1%"
"30","Aldrick Rosas (FA)","12","17","70.6","45","0","6","5","1","0","35","39","16","72.0","4.5","0.1%"
"31","Michael Badgley (LAC)","13","16","81.3","49","0","5","2","6","0","19","19","9","64.0","7.1","12.5%"
"32","Nick Folk (NE)","14","17","82.4","51","1","5","3","4","1","12","12","7","60.0","8.6","0.9%"
"33","Kai Forbath (CAR)","11","11","100.0","50","0","2","1","7","1","11","12","5","53.0","10.6","0.2%"
"34","Matt Bryant (FA)","9","14","64.3","52","0","1","3","3","2","14","15","8","48.0","6.0","2.0%"
"35","Ty Long (LAC)","7","9","77.8","51","0","0","2","4","1","9","9","16","36.0","2.3","1.2%"
"36","Stephen Gostkowski (TEN)","7","8","87.5","41","0","3","3","1","0","11","15","4","33.0","8.3","6.5%"
"37","Mike Nugent (ARI)","5","8","62.5","37","0","3","2","0","0","15","16","5","30.0","6.0","1.0%"
"38","Cairo Santos (CHI)","4","9","44.4","53","0","0","1","2","1","12","12","5","28.0","5.6","0.2%"
"39","Ryan Succop (TB)","1","6","16.7","31","0","0","1","0","0","24","25","7","27.0","3.9","10.2%"
"40","Cody Parkey (CLE)","3","3","100.0","51","0","0","0","2","1","5","6","4","18.0","4.5","0.3%"
"41","Greg Joseph (TB)","0","0","0","0","0","0","0","0","0","9","9","3","9.0","3.0","0.1%"
"42","Ryan Santoso (NYG)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"43","Rigoberto Sanchez (IND)","0","0","0","0","0","0","0","0","0","0","0","16","0.0","0.0","0.0%"
"44","Kaare Vedvik (CAR)","0","1","0.0","0","0","0","0","0","0","0","1","1","0.0","0.0","0.2%"
"45","Michael Palardy (CAR)","0","0","0","0","0","0","0","0","0","0","0","16","0.0","0.0","33.3%"
"46","Matt McCrane (CLE)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"47","Brandon Wright (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"48","Rodrigo Blankenship (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","32.7%"
"49","Cameron Nizialek (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"50","Dominik Eberle (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"51","Tyler Bass (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.2%"
"52","Sam Sloman (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.1%"
"53","Tucker McCann (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"54","Justin Rohrwasser (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"55","Parker Douglass (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"56","Piotr Czech (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"57","Sebastian Janikowski (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","20.0%"
"58","Steven Weatherford (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"59","Zac Derr (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"60","Ricky Schmit (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"61","Andrew Wellock (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"62","Carlos Martinez (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"63","Garrett Rivas (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"64","Graham Gano (NYG)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.1%"
"65","Jason Reda (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"66","Mark Hickok (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"67","MacKenzie Hoambrecker (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"68","Saverio Rocca (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"69","Giorgio Tavecchio (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.0%"
"70","Caleb Sturgis (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"71","Clint Stitser (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"72","Andrew Jacas (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"73","Connor Hughes (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"74","Garrett Lindholm (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
""
""
